👀 Watching for changes... (Press Ctrl+C to stop)
📁 Initial structure generated
📁 Updated structure (created): 94
📁 Updated structure (created): security.ts
📁 Updated structure (created): types
📁 Updated structure (created): api-routes.test.ts
📁 Updated structure (modified): Twiggy
📁 Updated structure (created): __pycache__
📁 Updated structure (modified): twiggy.egg-info
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (created): SECURITY_HARDENING_REPORT.md
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (moved): push-to-checkout.sample
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (moved): main
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
